"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = USA"",""Area = CA""]"																																						
	1806	3	25	8			2467		"CALIFORNIA:  SANTA BARBARA"	34.4	-119.7			6								1												1				
	1812	12	8	15					"CALIFORNIA:   SAN JUAN CAPISTRANO"	34.37	-117.65		6.9	8	40	1						2				1	40	1						2				1
	1812	12	21	19			609		"CALIFORNIA:   PURISIMA"	34.2	-119.9		7.5	8	1	1				1		2			100	1	1	1				1		2		1	100	1
	1836	6	10	15	30	0			"CALIFORNIA"	38	-122			10																								
	1838	6							"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA"	37.6	-122.4		7	8								1												1				
	1851	5	15	16	10	0	781		"CALIFORNIA:  NORTHERN"	37.8	-122.4			6																								
	1851	11	13	2	51	0	785		"CALIFORNIA:  NORTHERN"	40	-122																											
	1852	11	25	7	9	0	798		"CALIFORNIA:  NORTHERN"																													
	1853	2	1	21					"CALIFORNIA:  SAN SIMEON"	35.5	-121			8								2																
	1854	5	31	12	59		819		"CALIFORNIA:  SOUTHERN"	34.4	-119.7																											
	1854	10	22	3	35		829		"CALIFORNIA:  NORTHERN"	37.8	-122.4																											
	1855	3	20	0	30	0	844		"CALIFORNIA:  NORTHERN"	40.75	-124.2			5																								
	1855	7	11	4	15		846		"CALIFORNIA:  LOS ANGELES"	34.1	-118.1		6	8								2	1	1	26	1								2	1	1	26	1
	1855	10	22	3	45		849		"CALIFORNIA:  SAN FRANCISCO"	37.8	-122.4																											
	1856	2	15	13	25		856		"CALIFORNIA:  NORTHERN"	37.5	-122.3		5.5	7																				1				
	1857	1	9	10	13	0			"CALIFORNIA: SAN LUIS OBISPO"	35.717	-120.317		7.9	7	2	1						3					2	1						3				
	1858	11	26	8	35	0			"CALIFORNIA:  SAN JOSE,SAN FRANCISCO"	37.5	-122			9								3																
	1859	9	24			0	886		"CALIFORNIA:  HALF MOON BAY"	37.6	-122.3																											
	1861	7	4	0	11	0			"CALIFORNIA:  CONTRA COSTA,ALAMEDA COUNTIES"	37.5	-122			11								3																
	1862	5	27				922		"CALIFORNIA:  SAN DIEGO"	32.7	-117.2		5.9	7																								
	1865	3	7	14		0			"CALIFORNIA:  SONOMA COUNTY:  E CENTRAL"	38.5	-122.5			8								2																
	1865	10	1	17	15	0			"CALIFORNIA:  FORT HUMBOLDT, EUREKA"	41	-124.5			9								2																
	1865	10	8	20	46		940		"CALIFORNIA:  SANTA CRUZ"	37.2	-121.9		6.3	8							0.5	1		2									0.5	1		2		
	1868	10	21	15	53	0	993		"CALIFORNIA:  HAYWARD,SAN FRANCISCO"	37.7	-122.1		6.8	9	30	1					0.35	1		2			30	1					0.35	1		3		
	1869	2	10	11	50		997		"CALIFORNIA:  SAN FRANCISCO"	37.783	-122.417																											
	1869	2	13	11	30		998		"CALIFORNIA:  SAN FRANCISCO"	37.783	-122.417																											
	1871	3	2	21	5				"CALIFORNIA:  HUMBOLDT COUNTY"	40.4	-124.2		5.9	7								1												1				
	1872	3	26	10	30		1039		"CALIFORNIA:  OWENS VALLEY"	36.7	-118.1		7.8	10	27	1			56	2	0.25	1	52	2			27	1			56	2	0.25	1	52	2		
	1873	11	23	5	9		1055		"CALIFORNIA:  NORTHERN"	42	-124		6.7	8								1												1				
	1879	8	10	21	7		1115		"CALIFORNIA:  SAN FERNANDO"	34.227	-118.433																											
	1892	4	19	10	50				"CALIFORNIA:  VACAVILLE,WINTERS"	38.5	-122.5			9							0.25	1											0.25	1				
	1892	4	21	17	43				"CALIFORNIA:  WINTERS"	38.5	-121.9		6.2	9								2												2				
	1898	3	31	7	43		1248		"CALIFORNIA:  SONOMA COUNTY"	38.2	-122.4		6.5	8								2												2				
	1898	4	14			0			"CALIFORNIA:  N COAST,MENDOCINO COUNTY"	39	-124			10								1																
	1899	12	25	12	25		1270		"CALIFORNIA"	33.5	-117		6.4	9	6	1			8	1		2					6	1			8	1		2				
	1901	3	3	7	45		1277		"CALIFORNIA:  SAN DIEGO"	36	-120.5		6.4	8								1												1				
	1902	4	29	6	57	0			"CALIFORNIA:  SOUTHERN"	34.5	-120.5			7								2																
	1906	4	18	13	12	21	1333		"CALIFORNIA:  SAN FRANCISCO"	37.67	-122.48	20	7.9	11	700	3					400	4	28188	4														
	1915	6	23	4	56	0			"CALIFORNIA:  EL CENTRO"	32.8	-115.5		6.2		6	1				3	0.9	1					6	1				3	0.9	1				
	1918	4	21	22	32	30.4			"CALIFORNIA: SAN JACINTO, HEMET"	33.762	-116.972	10	6.7	10	1	1		1			0.2	1					1	1				1	0.2	1				
	1922	1	31	13	17	0			"CALIFORNIA:  NORTHERN"	41	-125.5		7.6									1																
	1923	1	22	9	4	21.3	1507		"CALIFORNIA:  NORTHERN"	40.482	-125.034	15	7.1	8								1												1				
	1925	6	29	14	42	26.2			"CALIFORNIA:  SANTA BARBARA"	34.418	-120.196	10	6.8	9	13	1					8	3		3			13	1					8	3		3		
	1927	1	1	8	16	0	1575		"CALIFORNIA, MEXICO"	32.5	-115.5		5.8							1	1	2		1	20	1	1	1				1	3	2		1	20	1
	1927	11	4	13	50	43	1585		"CALIFORNIA:  S:  OFF COAST"	34.813	-120.774	10	7.3	8								2												2				
	1930	8	31	0	40	38	1627		"CALIFORNIA:  SOUTHERN"	34.03	-118.643	15	5.2	7								1					1	1						1				
	1932	6	6	8	44	26.3			"CALIFORNIA: EUREKA"	40.729	-124.287	15	6.5	8	1	1						2		1			1	1						2		1		
	1933	3	11	1	54	7.8	1662		"CALIFORNIA:  LONG BEACH"	33.62	-117.97	16	6.3	9	120	3					41	4					120	3					41	4				
	1934	12	31						"CALIFORNIA:  BAJA,IMPERIAL VALLEY"	31.8	-115.5		7.1	10																								
	1940	5	19	4	36	40.9			"CALIFORNIA; MEXICO"	32.733	-115.5	16	7.2	10	9	1					33	4					9	1					33	4				
	1941	2	9	9	44	4	1745		"CALIFORNIA:  NORTHERN"	40.5	-125.25		6.6	6								1												1				
	1947	4	10	15	58	0			"CALIFORNIA"	35	-116.6		6.4									2																
	1949	11	17	1	19	52			"CALIFORNIA:  SOUTHERN"	33.75	-118.25			5							9	3											9	3				
	1951	8	15	7	23	0			"CALIFORNIA:  TERMINAL ISLAND"	33.5	-118.2			5							3	2																
	1952	7	21	11	52	14			"CALIFORNIA:  KERN COUNTY"	35	-119.017	16	7.7	11	12	1				3	60	4		3		2	12	1				3	60	4		3		2
	1952	8	22	22	41	24			"CALIFORNIA:  KERN COUNTY"	35.333	-118.917	16	5.8	8	2	1				2	10	3	90	2			2	1					10	3	90	2		
	1954	12	21	19	56	29.6			"CALIFORNIA:  HUMBOLDT COUNTY"	40.846	-123.893	15	6.6		1	1				1	2.1	2					1	1				1	2.1	2				
	1955	1	25	12	23	0			"CALIFORNIA:  TERMINAL ISLAND"	33.8	-118.2			4							3	2																
	1957	3	22	19	44	22.3			"CALIFORNIA:  SAN MATEO COUNTY"	37.557	-122.724	15	5.7						40	1	1	2									40	1	1	2				
	1961	4	4	21	32	0			"CALIFORNIA:  TERMINAL ISLAND"	34	-118	16									4.5	2																
	1969	10	2	4	56	46.5			"CALIFORNIA:  SANTA ROSA"	38.467	-122.692	10	4.8	8	1	1					8.35	3					1	1					8.35	3				
	1971	2	9	14	0	41.8			"CALIFORNIA:  SAN FERNANDO"	34.412	-118.4	8	6.5	11	65	2			2000	4	505	4					65	2			2000	4	505	4				
	1973	2	21	14	45	57.3			"CALIFORNIA:  OXNARD"	34.1	-119	8	5.7	7							1	2																
	1975	8	1	20	20	12.9			"CALIFORNIA:  OROVILLE"	39.439	-121.528	15	5.6	8					10	1	3	2									10	1	3	2				
	1978	8	13	22	54	53.5			"CALIFORNIA:  SOUTHERN"	34.284	-119.795	10	5.8	7					65	2	15	3									65	2	15	3				
	1979	10	15	23	16	54.1			"CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI"	32.634	-115.324	10	6.9	9					91	2	30	4	2	1	1565	4					91	2	30	4	2	1	1565	4
	1980	1	24	19	0	9.5			"CALIFORNIA:  LIVERMORE"	37.855	-121.816	11	5.9	7					50	1	11.5	3									50	1	11.5	3				
	1980	5	25	16	33	44.7			"CALIFORNIA:  MAMMOTH LAKES"	37.6	-118.84	7	6.1	7					7	1	2	2									7	1	2	2				
	1980	11	8	10	27	34			"CALIFORNIA:  NORTH COAST"	41.117	-124.253	19	7.2	7					6	1	2	2				1					6	1	2	2				1
	1981	4	26	12	9	28.4			"CALIFORNIA:  WESTMORLAND,CALIPATRIA"	33.133	-115.65	6	6	7							1.5	2											1.5	2				
	1983	5	2	23	42	37.7			"CALIFORNIA:  CENTRAL, COALINGA"	36.219	-120.317	10	6.2	8					45	1	31	4	500	3							45	1	31	4	500	3		
	1984	4	24	21	15	19			"CALIFORNIA:  CENTRAL:  MORGAN HILL"	37.32	-121.698	8	6.1	8					27	1	8	3									27	1	8	3				
	1986	7	8	9	20	44.5			"CALIFORNIA:  PALM SPRINGS"	34	-116.61	12	6	7					29	1	4.5	2									29	1	4.5	2				
	1986	7	13	13	47	8.2			"CALIFORNIA:  SAN DIEGO, NEWPORT BEACH"	32.97	-117.869	6	5.8	6							0.7	1											0.7	1				
	1986	7	21	14	42	26.6			"CALIFORNIA-NEVADA:  CHALFANT VALLEY"	37.537	-118.447	9	6.2	6							1	2											1	2				
	1987	10	1	14	42	20			"CALIFORNIA:  WHITTIER"	34.061	-118.078	10	5.7	8	8	1			200	3	358	4					8	1			200	3	358	4				
	1987	10	4	10	59	38.1			"CALIFORNIA:  WHITTIER, PASADENA"	34.07	-118.1	8	4.8		1	1				2		2					1	1				2		2				
	1987	11	24	1	54	14.5			"CALIFORNIA:  SUPERSTITION HILLS"	33.082	-115.775	5	6.2	6	2	1					3	2					2	1					3	2				
	1989	10	18	0	4	15.2	2188		"CALIFORNIA:  LOMA PRIETA"	37.036	-121.883	19	6.9	9	62	2			3757	4	5600	4		3			62	2			3757	4	5600	4		3		
	1990	2	28	23	43	36.6			"CALIFORNIA:  S,  CLAREMONT,  COVINA"	34.14	-117.7	5	5.5	7					30	1	12.7	3									30	1	12.7	3				
	1991	6	28	14	43	54.5			"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES"	34.262	-118.002	11	5.1	7	2	1			104	3	33.5	4					2	1			104	3	33.5	4				
	1991	8	17	19	29	40			"CALIFORNIA:  HONEYDEW, WHITETHORN, PETROLIA"	40.235	-124.348	12	6.2	7								2												2				
	1992	4	23	4	50	23.2			"CALIFORNIA:  JOSHUA TREE, ANGELUS OAKS"	33.961	-116.318	12	6.3	7					32	1		2									32	1		2				
	1992	4	25	18	6	4.2	2208		"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA"	40.368	-124.316	15	7.1	8					98	2	75	4									98	2	75	4				
	1992	6	28	11	57	34.1			"CALIFORNIA: LANDERS, YUCCA  VALLEY"	34.201	-116.436	1	7.6	9	3	1			400	3	92	4					3	1			400	3	92	4				
	1992	6	28	15	5	30.7			"CALIFORNIA: BIG BEAR LAKE, BIG BEAR CITY"	34.203	-116.827	5	6.7	8						2		2										2		2				
	1994	1	17	12	30	55.3	2223		"CALIFORNIA:  NORTHRIDGE"	34.213	-118.537	18	6.7	9	57	2			11846	4	40000	4	40000	4			57	2			11846	4	40000	4	40000	4		
	1994	9	1	15	15	53	2228		"CALIFORNIA:  NORTH:  HONEYDEW"	40.402	-125.68	10	7	6								1												1				
	1994	12	26	14	10	29.1			"CALIFORNIA:  EUREKA, SAMOA, ARCATA, BLUE LAKE"	40.741	-124.31	23	5.5	7							2.1	2											2.1	2				
	1999	10	16	9	46	44.1			"CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS"	34.594	-116.271		7.2	7					4	1		1									4	1		1				
	2000	9	3	8	36	30			"CALIFORNIA:  NAPA"	38.379	-122.413	10	5	7					41	1	50	4									41	1	50	4				
	2001	9	9	23	59	18			"CALIFORNIA:  LOS ANGELES"	34.059	-118.387	5	4.2	6								1												1				
	2003	2	22	12	19	10.5			"CALIFORNIA:  BIG BEAR CITY"	34.31	-116.848	1	5.2	6								1												1				
	2003	12	22	19	15	56			"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO"	35.706	-121.102	8	6.6	8	2	1			47	1	263	4	40	1			2	1			47	1	263	4	40	1		
	2004	9	28	17	15	24.2			"CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL"	35.819	-120.364	9	6	6								1												1				
	2005	6	15	2	50	53.1	2547		"CALIFORNIA:  OFF COAST NORTHERN"	41.301	-125.97	10	7.2	4																								
	2007	7	20	11	42	22.3			"CALIFORNIA:  MONTCLAIR"	37.804	-122.193	5	4.2									1												1				
	2007	10	31	3	4	54.8			"CALIFORNIA:  SAN JOSE"	37.434	-121.774	10	5.6									1												1				
	2008	7	29	18	42	15.7			"CALIFORNIA:  LOS ANGELES"	33.953	-117.761	15	5.4	6					8	1		2				1					8	1		2				1
	2010	1	10	0	27	39.3			"CALIFORNIA:  OFF COAST NORTHERN"	40.652	-124.692	29	6.5						35	1	43	3									35	1	43	3				
	2010	6	15	4	26	58.4			"CALIFORNIA:  OCOTILLO"	32.7	-115.921	5	5.8									1				1								1				1
	2014	3	29	4	9	42.2			"CALIFORNIA:  LA HABRA, BREA, FULLERTON"	33.933	-117.916	5	5.1	6						1	10.8	3			20	1						1	10.8	3			20	1
	2014	8	24	10	20	44.1			"CALIFORNIA:  NAPA, VALLEJO"	38.215	-122.312	11	6	8	1	1			257	3	700	4	160	3	1034	4	1	1			257	3	700	4	160	3	1034	4
	2019	7	4	17	33	49			"CALIFORNIA:  RIDGECREST;  NEVADA"	35.705	-117.506	11	6.4		1	1				1	50	4				1	1	1				1	50	4				1
	2019	7	6	3	19	52			"CALIFORNIA:  RIDGECREST"	35.766	-117.605	8	7.1							1	5300	4	101	3	287	3						1	5300	4	101	3	287	3
	2022	12	20	10	34	24			"CALIFORNIA:  HUMBOLDT COUNTY"	40.525	-124.423	17	6.4	8	2	1			17	1	250	4	150	3		1	2	1			17	1	250	4	150	3		1
	2024	12	5	18	44	21	5940		"CALIFORNIA: OFFSHORE CAPE MENDOCINO"	40.374	-125.022	10	7	8								2				2								2				2